date,ticker,price
2015-05-08,NVDA,0.5
2015-05-08,PG,60.45
2015-05-08,XOM,55.94
2015-05-11,AAPL,28.23
2015-05-11,AMZN,21.64
2015-05-11,GOOGL,27.08
2015-05-11,JNJ,74.91
2015-05-11,JPM,49.04
2015-05-11,META,77.47
2015-05-11,MSFT,40.67
2015-05-11,NVDA,0.5
2015-05-11,PG,59.94
2015-05-11,XOM,55.0
2015-05-12,AAPL,28.13
2015-05-12,AMZN,21.55
2015-05-12,GOOGL,26.73
2015-05-12,JNJ,74.49
2015-05-12,JPM,48.97
2015-05-12,META,76.92
2015-05-12,MSFT,40.65
2015-05-12,NVDA,0.5
2015-05-12,PG,59.7
2015-05-12,XOM,55.15
2015-05-13,AAPL,28.16
2015-05-13,AMZN,21.34
2015-05-13,GOOGL,26.77
2015-05-13,JNJ,74.55
2015-05-13,JPM,49.09
2015-05-13,META,77.9
